pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.68864400000,0.00335300000,-0.00341900000,0,,,,,2.35545351,0.30999992,-0.16677291,0,0.21013949,0.02765634,-0.01487848,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5703.00,50.00,-50.00,0,0.956122,0.098585,-0.054675,0,0.963861,0.029568,-0.032166,0,-0.0600,0.0800,-0.0800,0,[Fe/H],4.380000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490,2018-04-25,2018-03,2018-02-15
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.68550000000,0.00300000000,-0.00310000000,0,0.2410000000,0.0190000000,-0.0170000000,0,2.23000000,0.14000000,-0.11000000,0,0.19894727,0.01248996,-0.00981354,0,16.30000000,6.00000000,-6.10000000,0,0.05128528,0.01887802,-0.01919265,0,Mass,0.000000,,,0,,,,,546.00,19.00,-18.00,0,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.00,99.00,-99.00,0,0.928000,0.055000,-0.040000,0,0.961000,0.032000,-0.029000,0,-0.1500,0.0500,-0.0500,0,[Fe/H],4.500000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490,2018-04-25,2016-10,2016-07-28
BD+20 594 b,BD+20 594,1,CONFIRMED,Espinoza et al. 2016,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.68550000000,0.00300000000,-0.00300000000,0,,,,,2.57807000,0.11209000,-0.11209000,0,0.23000000,0.01000000,-0.01000000,0,22.24810000,9.53490000,-9.53490000,0,0.07000000,0.03000000,-0.03000000,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.00,99.00,-99.00,0,1.080000,0.060000,-0.060000,0,1.670000,0.400000,-0.400000,0,-0.1500,,,0,[Fe/H],4.500000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.46100000,1.25700000,-1.24000000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490,2018-04-25,2017-03,2018-04-26
EPIC 201111557.01,EPIC 201111557,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.30183000000,0.00028000000,-0.00030000000,0,,,,,1.12000000,0.11000000,-0.08000000,0,0.09990000,0.00980000,-0.00700000,0,,,,,,,,,,,,,,,,,,1054.00,55.00,-55.00,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,82.36,-115.56,0,0.762602,0.053651,-0.037585,0,0.730000,0.084105,-0.081044,0,-0.0300,0.0340,-0.0340,0,[M/H],4.536790,0.075486,-0.090593,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.17950000,0.46420000,-0.45980000,11.7270000,0.0460000,-0.0460000,9.2200000,0.0190000,-0.0190000,11.3995000,0.0013070,-0.0013070,2018-08-02,2018-08,2018-08-02
EPIC 201111557.01,EPIC 201111557,0,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2.30236800000,0.00010500000,-0.00010300000,0,,,,,1.31258765,0.52417700,-0.12081424,0,0.12000000,0.05000000,-0.01000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,4720.00,50.00,-50.00,0,0.710995,0.018609,-0.020398,0,,,,,-0.0600,0.0800,-0.0800,0,[Fe/H],4.500000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.17950000,0.46420000,-0.45980000,11.7270000,0.0460000,-0.0460000,9.2200000,0.0190000,-0.0190000,11.3995000,0.0013070,-0.0013070,2018-02-15,2018-03,2018-02-15
EPIC 201126503.01,EPIC 201126503,1,CANDIDATE,Vanderburg et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.19474880000,,,0,,,,,4.19000000,,,0,0.37380676,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3919.00,,,0,0.570000,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592,290.06200000,18.35600000,-16.32500000,19.2100000,0.2000000,-0.2000000,14.2300000,0.0700000,-0.0700000,17.8892000,0.0016620,-0.0016620,2015-12-05,2016-01,2015-12-05
EPIC 201127519.01,EPIC 201127519,0,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,6.17836900000,0.00019500000,-0.00017200000,0,,,,,9.91257877,0.52940607,-0.36218238,0,0.88000000,0.05000000,-0.03000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5015.00,50.00,-50.00,0,0.789478,0.025322,-0.017327,0,,,,,0.2400,0.0800,-0.0800,0,[Fe/H],4.670000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.70400000,0.77800000,-0.76700000,11.7330000,0.0460000,-0.0460000,9.4300000,0.0210000,-0.0210000,11.4806000,0.0004780,-0.0004780,2018-02-15,2018-03,2018-02-15
EPIC 201127519.01,EPIC 201127519,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.17887000000,0.00007000000,-0.00007000000,0,,,,,8.84000000,0.14000000,-0.13000000,0,0.78900000,0.01200000,-0.01200000,0,,,,,,,,,,,,,,,,,,772.00,10.00,-10.00,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,100.72,-112.19,0,0.849432,0.053904,-0.052076,0,0.756000,0.096466,-0.080306,0,0.2130,0.0410,-0.0410,0,[M/H],4.458330,0.062492,-0.110798,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.70400000,0.77800000,-0.76700000,11.7330000,0.0460000,-0.0460000,9.4300000,0.0210000,-0.0210000,11.4806000,0.0004780,-0.0004780,2018-08-02,2018-08,2018-08-02
EPIC 201147085.01,EPIC 201147085,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.17589000000,0.00010000000,-0.00010000000,0,,,,,0.86000000,0.18000000,-0.26000000,0,0.07700000,0.01600000,-0.02300000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.309000,0.057000,-0.070000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m36.64s,173.9026640,-05d21m52.60s,-5.3646120,166.58440000,,,16.6400000,0.2000000,-0.2000000,11.3970000,0.0230000,-0.0230000,,,,2019-09-05,2019-09,2019-09-05
EPIC 201152065.01,EPIC 201152065,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.69660000000,0.00200000000,-0.00210000000,0,,,,,1.45000000,0.18000000,-0.36000000,0,0.12900000,0.01600000,-0.03200000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.588000,0.041000,-0.015000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672,212.29100000,1.40800000,-1.39000000,14.3460000,0.1830000,-0.1830000,11.4300000,0.0230000,-0.0230000,13.9562000,0.0005350,-0.0005350,2019-09-05,2019-09,2019-09-05
